Ticker,DVS Valor,DVS Qualid.,DVS Cresc.,DVS Divid.,DVS Baixa Alav.,DVS Baixa Vol.,DVS Total,Ret 1M,Ret 3M,Ret 1A,Ret 2A,Ret 5A,Ret 10A
"ENEV3","13.39","35.76","26.33","0.00","4.42","100.00","2.26","12.51","14.70","13.15","29.12","32.01","324.53"
"AZTE3","3.30","0.00","28.57","0.00","80.00","100.00","1.93","-16.36","-20.69","0.00","0.00","0.00","0.00"
"CSNA3","29.59","0.00","33.88","24.26","0.00","100.00","1.09","15.32","-7.12","-34.20","-33.28","-33.29","118.58"
"EVEN3","16.13","17.17","41.19","33.51","0.00","100.00","1.07","9.33","7.83","19.48","39.17","-20.78","192.84"
"AURE3","19.31","0.00","28.57","1.66","0.00","100.00","0.00","7.42","4.90","-2.96","-11.46","-52.09","-16.38"
"AZUL4","0.00","0.00","47.61","0.00","0.00","100.00","0.00","115.25","24.51","-74.34","-90.62","-95.47","0.00"
"BEEF3","0.71","0.00","40.12","0.00","0.00","100.00","0.00","35.79","35.51","-3.91","-22.61","-39.39","-34.92"
"BRKM5","0.00","0.00","32.32","0.00","0.00","100.00","0.00","16.30","-15.85","-53.97","-59.33","-53.08","-16.57"
"CLSA3","0.00","0.00","28.57","0.00","NaN","100.00","0.00","","","","","",""
"CSAN3","0.46","0.00","45.53","0.00","0.00","100.00","0.00","35.58","-11.97","-43.02","-58.54","-56.07","100.59"
"GOLL4","0.00","0.00","45.85","0.00","0.00","100.00","0.00","0.00","0.00","-26.61","-87.84","-96.16","-82.61"
"HBSA3","4.41","0.00","30.18","0.00","0.00","100.00","0.00","-6.81","-10.94","-2.84","-24.84","-53.91","0.00"
"MRVE3","0.00","0.00","33.78","0.00","60.84","100.00","0.00","4.60","24.96","-6.48","-35.81","-52.89","50.11"
"ONCO3","5.98","0.00","28.57","0.00","59.58","100.00","0.00","-44.23","-36.70","-52.42","-74.28","0.00","0.00"
"OPCT3","11.30","0.00","43.41","0.00","7.16","100.00","0.00","12.36","10.97","2.57","43.31","0.00","0.00"
"PCAR3","0.00","0.00","7.08","0.00","51.56","100.00","0.00","44.06","31.63","35.53","-7.00","-93.99","0.00"
"RAIZ4","17.34","0.00","28.57","0.00","0.00","100.00","0.00","22.12","-33.51","-58.90","-66.67","0.00","0.00"
"RCSL4","0.00","0.00","5.71","0.00","80.00","100.00","0.00","-3.54","4.81","7.92","-79.20","-95.77","-97.95"
"SIMH3","17.27","0.00","50.58","3.81","0.00","100.00","0.00","39.81","3.47","1.56","-37.40","-5.36","0.00"
"ZAMP3","0.31","0.00","39.37","0.00","44.36","100.00","0.00","1.15","0.29","15.08","-38.64","0.00","0.00"
